维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_t5_cnt,double,风险等级为t5的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_prod_cash_cnt,double,产品类型为类尊享贷的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_prod_fancy_cnt,double,产品类型为类畅享贷的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol12_risk123_cnt,double,规模大且风险低的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol34_risk45_cnt,double,规模小且风险高的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_adkm_cnt,double,ADAKAMI的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_esch_cnt,double,EASYCASH的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_kdpt_cnt,double,KREDITPINTAR的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_type_pl_cnt,double,借款类型为先享后付的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_type_cl_cnt,double,借款类型为现金分期的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_type_oth_cnt,double,借款类型为其他的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_status_l_cnt,double,借款状态为已结清的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_status_o_cnt,double,借款状态为在贷的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_status_w_cnt,double,借款状态为核销的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_status_l_cnt,double,先享后付且已结清的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_status_o_cnt,double,先享后付且在贷的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_status_w_cnt,double,先享后付且核销的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_cl_status_l_cnt,double,现金分期且已结清的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_cl_status_o_cnt,double,现金分期且在贷的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_cl_status_w_cnt,double,现金分期且核销的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_oth_status_l_cnt,double,借款类型为其他且已结清的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_oth_status_o_cnt,double,借款类型为其他且在贷的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_oth_status_w_cnt,double,借款类型为其他且核销的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_quality_1_cnt,double,当前逾期为0天的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_quality_2_cnt,double,"当前逾期为[1,30]天的放款笔数",,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_quality_3_cnt,double,"当前逾期为[31,60]天的放款笔数",,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_quality_4_cnt,double,"当前逾期为[61,90]天的放款笔数",,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_quality_5_cnt,double,当前逾期>90天的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_quality_1_cnt,double,先享后付且当前逾期为0天的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_quality_2_cnt,double,"先享后付且当前逾期为[1,30]天的放款笔数",,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_quality_3_cnt,double,"先享后付且当前逾期为[31,60]天的放款笔数",,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_quality_4_cnt,double,"先享后付且当前逾期为[61,90]天的放款笔数",,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_quality_5_cnt,double,先享后付且当前逾期>90天的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_cl_quality_1_cnt,double,现金分期且当前逾期为0天的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_cl_quality_2_cnt,double,"现金分期且当前逾期为[1,30]天的放款笔数",,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_cl_quality_3_cnt,double,"现金分期且当前逾期为[31,60]天的放款笔数",,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_cl_quality_4_cnt,double,"现金分期且当前逾期为[61,90]天的放款笔数",,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_cl_quality_5_cnt,double,现金分期且当前逾期>90天的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_oth_quality_1_cnt,double,借款类型为其他且当前逾期为0天的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_oth_quality_2_cnt,double,"借款类型为其他且当前逾期为[1,30]天的放款笔数",,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_oth_quality_3_cnt,double,"借款类型为其他且当前逾期为[31,60]天的放款笔数",,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_oth_quality_4_cnt,double,"借款类型为其他且当前逾期为[61,90]天的放款笔数",,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_oth_quality_5_cnt,double,借款类型为其他且当前逾期>90天的放款笔数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_amt_sum,double,放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol_t1_amt_sum,double,市场规模为t1的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol_t2_amt_sum,double,市场规模为t2的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol_t3_amt_sum,double,市场规模为t3的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol_t4_amt_sum,double,市场规模为t4的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_t1_amt_sum,double,风险等级为t1的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_t2_amt_sum,double,风险等级为t2的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_t3_amt_sum,double,风险等级为t3的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_t4_amt_sum,double,风险等级为t4的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_t5_amt_sum,double,风险等级为t5的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_prod_cash_amt_sum,double,产品类型为类尊享贷的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_prod_fancy_amt_sum,double,产品类型为类畅享贷的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol12_risk123_amt_sum,double,规模大且风险低的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol34_risk45_amt_sum,double,规模小且风险高的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_adkm_amt_sum,double,ADAKAMI的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_esch_amt_sum,double,EASYCASH的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_kdpt_amt_sum,double,KREDITPINTAR的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_type_pl_amt_sum,double,借款类型为先享后付的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_type_cl_amt_sum,double,借款类型为现金分期的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_type_oth_amt_sum,double,借款类型为其他的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_status_l_amt_sum,double,借款状态为已结清的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_status_o_amt_sum,double,借款状态为在贷的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_status_w_amt_sum,double,借款状态为核销的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_status_l_amt_sum,double,先享后付且已结清的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_status_o_amt_sum,double,先享后付且在贷的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_status_w_amt_sum,double,先享后付且核销的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_cl_status_l_amt_sum,double,现金分期且已结清的放款金额求和,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
