维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa000_cnt_90d,double,近90天催记结果为无WA的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa000_cnt_180d,double,近180天催记结果为无WA的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_wa000_cnt_all,double,历史全量催记结果为无WA的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_inva_cnt_1d,double,近1天催记结果为联系人号码无效的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_inva_cnt_7d,double,近7天催记结果为联系人号码无效的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_inva_cnt_15d,double,近15天催记结果为联系人号码无效的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_inva_cnt_30d,double,近30天催记结果为联系人号码无效的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_inva_cnt_90d,double,近90天催记结果为联系人号码无效的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_inva_cnt_180d,double,近180天催记结果为联系人号码无效的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_inva_cnt_all,double,历史全量催记结果为联系人号码无效的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_looo_cnt_1d,double,近1天催记结果为空号的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_looo_cnt_7d,double,近7天催记结果为空号的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_looo_cnt_15d,double,近15天催记结果为空号的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_looo_cnt_30d,double,近30天催记结果为空号的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_looo_cnt_90d,double,近90天催记结果为空号的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_looo_cnt_180d,double,近180天催记结果为空号的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_looo_cnt_all,double,历史全量催记结果为空号的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_pct_1d,double,近1天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_pct_7d,double,近7天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_pct_15d,double,近15天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_pct_30d,double,近30天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_pct_90d,double,近90天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_pct_180d,double,近180天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_pct_all,double,历史全量催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_1dd_7d,double,近1天催记结果为失联标签的次数占比/近7天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_1dd_15d,double,近1天催记结果为失联标签的次数占比/近15天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_1dd_30d,double,近1天催记结果为失联标签的次数占比/近30天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_1dd_90d,double,近1天催记结果为失联标签的次数占比/近90天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_1dd_180d,double,近1天催记结果为失联标签的次数占比/近180天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_7dd_15d,double,近7天催记结果为失联标签的次数占比/近15天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_7dd_30d,double,近7天催记结果为失联标签的次数占比/近30天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_7dd_90d,double,近7天催记结果为失联标签的次数占比/近90天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_7dd_180d,double,近7天催记结果为失联标签的次数占比/近180天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_15dd_30d,double,近15天催记结果为失联标签的次数占比/近30天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_15dd_90d,double,近15天催记结果为失联标签的次数占比/近90天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_15dd_180d,double,近15天催记结果为失联标签的次数占比/近180天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_30dd_90d,double,近30天催记结果为失联标签的次数占比/近90天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_30dd_180d,double,近30天催记结果为失联标签的次数占比/近180天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_lost_90dd_180d,double,近90天催记结果为失联标签的次数占比/近180天催记结果为失联标签的次数占比,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivr行为,col_ivr_notice_success_days_max,double,IVR语音提醒成功的最大天数差,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivr行为,col_ivr_notice_success_days_min,double,IVR语音提醒成功的最小天数差,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivr行为,col_ivr_notice_success_days_avg,double,IVR语音提醒成功的平均天数差,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivr行为,col_ivr_notice_success_cnt,double,IVR语音提醒成功的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
