维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p360d_amt_avg,double,过去360天还款平均金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_sum,double,历史总还款金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_max,double,历史还款最大金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_min,double,历史还款最小金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_avg,double,历史还款平均金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p7dd30d,double,总还款金额趋势：近7天/近30天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p30dd90d,double,总还款金额趋势：近30天/近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p90dd180d,double,总还款金额趋势：近90天/近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p180dd360d,double,总还款金额趋势：近180天/近360天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p360ddtot,double,总还款金额趋势：近360天/历史全部,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_tot_cnt,double,过去60天总还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_cnt,double,过去60天提前还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_norm_cnt,double,过去60天正常还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_odue_cnt,double,过去60天逾期还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_cnt_ratio,double,过去60天提前还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_norm_cnt_ratio,double,过去60天正常还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_odue_cnt_ratio,double,过去60天逾期还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p7dd60d,double,还款次数度趋势：近7天/近60天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p7dd90d,double,还款次数度趋势：近7天/近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p7dd180d,double,还款次数度趋势：近7天/近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p7dd360d,double,还款次数度趋势：近7天/近360天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p7ddtot,double,还款次数度趋势：近7天/全量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p30dd60d,double,还款次数度趋势：近30天/近60天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p30dd180d,double,还款次数度趋势：近30天/近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p30dd360d,double,还款次数度趋势：近30天/近360天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p30ddtot,double,还款次数度趋势：近30天/全量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p60dd90d,double,还款次数度趋势：近60天/近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p60dd180d,double,还款次数度趋势：近60天/近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p60dd360d,double,还款次数度趋势：近60天/近360天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p60ddtot,double,还款次数度趋势：近60天/全量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p90dd360d,double,还款次数度趋势：近90天/近360天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p90ddtot,double,还款次数度趋势：近90天/全量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_cnt_p180ddtot,double,还款次数度趋势：近180天/全量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_amt_sum,double,过去30天总还款金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_amt_max,double,过去30天还款最大金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_amt_min,double,过去30天还款最小金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_amt_avg,double,过去30天还款平均金额,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_std,double,历史还款金额标准差,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p7dd60d,double,还款金额度趋势：近7天/近60天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p7dd90d,double,还款金额度趋势：近7天/近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p7dd180d,double,还款金额度趋势：近7天/近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p7dd360d,double,还款金额度趋势：近7天/近360天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p7ddtot,double,还款金额度趋势：近7天/全量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p30dd60d,double,还款金额度趋势：近30天/近60天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p30dd180d,double,还款金额度趋势：近30天/近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p30dd360d,double,还款金额度趋势：近30天/近360天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p30ddtot,double,还款金额度趋势：近30天/全量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p60dd90d,double,还款金额度趋势：近60天/近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p60dd180d,double,还款金额度趋势：近60天/近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p60dd360d,double,还款金额度趋势：近60天/近360天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p60ddtot,double,还款金额度趋势：近60天/全量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p90dd360d,double,还款金额度趋势：近90天/近360天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p90ddtot,double,还款金额度趋势：近90天/全量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_amt_p180ddtot,double,还款金额度趋势：近180天/全量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_advance_flag,double,过去7天有无提前还款,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_advance_bill_cnt,double,过去7天提前还款的账单数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_advance_amt_max,double,过去7天提前还款的金额最大值,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_advance_amt_min,double,过去7天提前还款的金额最小值,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_advance_amt_avg,double,过去7天提前还款的金额均值,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_advance_amt_acc,double,过去7天提前还款的金额总计,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_advance_days_farthest,double,过去7天最早提前还款距当前天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_advance_days_latest,double,过去7天最晚提前还款距当前天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_advance_flag,double,过去30天有无提前还款,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_advance_bill_cnt,double,过去30天提前还款的账单数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_advance_amt_max,double,过去30天提前还款的金额最大值,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_advance_amt_min,double,过去30天提前还款的金额最小值,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
